Date,Open,High,Low,Close,Adj Close,Volume
2006-04-01,0.856604,0.896620,0.849834,0.894855,0.894855,0
2006-05-01,0.895015,0.914829,0.887154,0.908348,0.908348,0
2006-06-01,0.908348,0.912326,0.886446,0.897102,0.897102,0
2006-07-01,0.897102,0.905633,0.872905,0.884486,0.884486,0
2006-08-01,0.884330,0.906618,0.879662,0.905551,0.905551,0
2006-09-01,0.905633,0.906700,0.885583,0.895335,0.895335,0
2006-10-01,0.895335,0.897344,0.876194,0.891504,0.891504,0
2006-11-01,0.891663,0.892140,0.868432,0.875887,0.875887,0
2006-12-01,0.875964,0.887311,0.856018,0.857927,0.857927,0
2007-01-01,0.857633,0.861475,0.844096,0.850919,0.850919,0
2007-02-01,0.850847,0.869112,0.839349,0.854628,0.854628,0
2007-03-01,0.854701,0.869717,0.835562,0.866852,0.866852,0
2007-04-01,0.866852,0.904895,0.862180,0.901226,0.901226,0
2007-05-01,0.901226,0.937734,0.895536,0.934492,0.934492,0
2007-06-01,0.934667,0.953653,0.929714,0.939408,0.939408,0
2007-07-01,0.939408,0.967118,0.934754,0.937383,0.937383,0
2007-08-01,0.937242,0.956023,0.920683,0.946880,0.946880,0
2007-09-01,0.946880,1.008980,0.945358,1.007252,1.007252,0
2007-10-01,1.007252,1.061458,0.998602,1.056301,1.056301,0
2007-11-01,1.056301,1.103509,0.998901,0.999600,0.999600,0
2007-12-01,0.999600,1.025010,0.976277,1.002406,1.002406,0
2008-01-01,1.001904,1.015847,0.963855,0.998702,0.998702,0
2008-02-01,0.998672,1.029760,0.980873,1.013171,1.013171,0
2008-03-01,1.014199,1.025010,0.970214,0.975324,0.975324,0
2008-04-01,0.977708,1.001101,0.973520,0.992063,0.992063,0
2008-05-01,0.982318,1.019680,0.977422,1.006340,1.006340,0
2008-06-01,1.005632,1.006847,0.968992,0.981065,0.981065,0
2008-07-01,0.978282,1.002607,0.973710,0.977326,0.977326,0
2008-08-01,0.977135,0.977613,0.932401,0.941354,0.941354,0
2008-09-01,0.941442,0.971062,0.924642,0.940468,0.940468,0
2008-10-01,0.940468,0.948137,0.768403,0.829738,0.829738,0
2008-11-01,0.829738,0.871688,0.770179,0.805218,0.805218,0
2008-12-01,0.805218,0.846024,0.769112,0.822436,0.822436,0
2009-01-01,0.814863,0.850340,0.783576,0.809127,0.809127,0
2009-02-01,0.809127,0.824266,0.784129,0.787278,0.787278,0
2009-03-01,0.785299,0.819672,0.765814,0.792393,0.792393,0
2009-04-01,0.792330,0.842673,0.787030,0.837661,0.837661,0
2009-05-01,0.837521,0.918358,0.826651,0.917431,0.917431,0
2009-06-01,0.917095,0.927128,0.859328,0.860511,0.860511,0
2009-07-01,0.860511,0.929282,0.853315,0.927214,0.927214,0
2009-08-01,0.927644,0.938262,0.903098,0.914077,0.914077,0
2009-09-01,0.906865,0.939055,0.905141,0.935891,0.935891,0
2009-10-01,0.922765,0.977517,0.921829,0.926012,0.926012,0
2009-11-01,0.922424,0.960061,0.920217,0.948947,0.948947,0
2009-12-01,0.948767,0.964878,0.931012,0.950390,0.950390,0
2010-01-01,0.950841,0.978186,0.933097,0.936330,0.936330,0
2010-02-01,0.936242,0.964506,0.927730,0.951656,0.951656,0
2010-03-01,0.951384,0.993937,0.946074,0.984640,0.984640,0
2010-04-01,0.984543,1.007049,0.979240,0.982318,0.982318,0
2010-05-01,0.989315,0.990099,0.921888,0.958681,0.958681,0
2010-06-01,0.958681,0.986291,0.936505,0.941088,0.941088,0
2010-07-01,0.940822,0.975324,0.936768,0.971534,0.971534,0
2010-08-01,0.971251,0.989511,0.937559,0.943405,0.943405,0
2010-09-01,0.939761,0.981451,0.938967,0.969180,0.969180,0
2010-10-01,0.970045,1.002406,0.964590,0.972725,0.972725,0
2010-11-01,0.981162,1.002205,0.972479,0.981065,0.981065,0
2010-12-01,0.975229,1.006543,0.973805,1.000400,1.000400,0
2011-01-01,1.007313,1.016984,0.997307,0.997705,0.997705,0
2011-02-01,1.000000,1.028066,1.000000,1.022913,1.022913,0
2011-03-01,1.029548,1.034554,1.003009,1.029336,1.029336,0
2011-04-01,1.031353,1.057865,1.028796,1.052410,1.052410,0
2011-05-01,1.057753,1.058504,1.018849,1.023898,1.023898,0
2011-06-01,1.033699,1.038929,1.009021,1.033699,1.033699,0
2011-07-01,1.037452,1.063151,1.023123,1.053075,1.053075,0
2011-08-01,1.048108,1.053630,0.999500,1.021868,1.021868,0
2011-09-01,1.022495,1.027010,0.955749,0.964041,0.964041,0
2011-10-01,0.952562,1.010611,0.940999,1.006340,1.006340,0
2011-11-01,1.001202,1.002506,0.950570,0.968880,0.968880,0
2011-12-01,0.982318,0.994926,0.959693,0.980104,0.980104,0
2012-01-01,0.978280,1.003814,0.969274,0.997606,0.997606,0
2012-02-01,0.997845,1.014199,0.994926,1.006340,1.006340,0
2012-03-01,1.011736,1.016126,0.996810,1.002300,1.002300,0
2012-04-01,1.002300,1.020512,0.995045,1.019472,1.019472,0
2012-05-01,1.012566,1.017605,0.964944,0.970780,0.970780,0
2012-06-01,0.968054,0.984426,0.957488,0.983190,0.983190,0
2012-07-01,0.983190,0.999800,0.975857,0.998652,0.998652,0
2012-08-01,0.996711,1.016157,0.992635,1.007455,1.007455,0
2012-09-01,1.013600,1.038206,1.008349,1.016000,1.016000,0
2012-10-01,1.015847,1.027264,0.998153,1.000490,1.000490,0
2012-11-01,1.000100,1.012761,0.995986,1.007049,1.007049,0
2012-12-01,1.005400,1.018123,1.003000,1.005632,1.005632,0
2013-01-01,1.006137,1.018849,0.990148,0.997805,0.997805,0
2013-02-01,1.003311,1.006847,0.970487,0.977087,0.977087,0
2013-03-01,0.970280,0.985707,0.967081,0.982850,0.982850,0
2013-04-01,0.983216,0.994332,0.971817,0.988435,0.988435,0
2013-05-01,0.993443,0.998801,0.959748,0.970685,0.970685,0
2013-06-01,0.963820,0.986291,0.947508,0.950430,0.950430,0
2013-07-01,0.951113,0.974944,0.942774,0.970761,0.970761,0
2013-08-01,0.972668,0.974279,0.946414,0.948590,0.948590,0
2013-09-01,0.948590,0.982087,0.947059,0.969744,0.969744,0
2013-10-01,0.968654,0.973710,0.953389,0.954381,0.954381,0
2013-11-01,0.958773,0.962001,0.941900,0.941900,0.941900,0
2013-12-01,0.941900,0.947149,0.931576,0.939408,0.939408,0
2014-01-01,0.941682,0.944287,0.891107,0.896387,0.896387,0
2014-02-01,0.898260,0.916632,0.894118,0.899038,0.899038,0
2014-03-01,0.903350,0.912850,0.886737,0.904977,0.904977,0
2014-04-01,0.904830,0.920133,0.903375,0.913075,0.913075,0
2014-05-01,0.912367,0.924984,0.909256,0.921590,0.921590,0
2014-06-01,0.921590,0.938853,0.912742,0.937603,0.937603,0
2014-07-01,0.937128,0.941708,0.915332,0.916842,0.916842,0
2014-08-01,0.917011,0.924642,0.909446,0.919680,0.919680,0
2014-09-01,0.919439,0.924078,0.892299,0.896089,0.896089,0
2014-10-01,0.892299,0.903261,0.878372,0.893336,0.893336,0
2014-11-01,0.887410,0.893072,0.872288,0.873030,0.873030,0
2014-12-01,0.873294,0.883626,0.857045,0.861712,0.861712,0
2015-01-01,0.860985,0.860985,0.781714,0.785500,0.785500,0
2015-02-01,0.785500,0.808931,0.782975,0.799250,0.799250,0
2015-03-01,0.799250,0.805932,0.779302,0.789060,0.789060,0
2015-04-01,0.788333,0.836442,0.786850,0.832057,0.832057,0
2015-05-01,0.828020,0.839067,0.797734,0.804823,0.804823,0
2015-06-01,0.802594,0.824518,0.796045,0.805678,0.805678,0
2015-07-01,0.801545,0.801667,0.763219,0.768900,0.768900,0
2015-08-01,0.762021,0.772105,0.749232,0.755401,0.755401,0
2015-09-01,0.760919,0.768468,0.744624,0.745212,0.745212,0
2015-10-01,0.750920,0.778210,0.750762,0.764820,0.764820,0
2015-11-01,0.764935,0.766695,0.744325,0.748111,0.748111,0
2015-12-01,0.749103,0.752049,0.714449,0.720877,0.720877,0
2016-01-01,0.719440,0.722951,0.680860,0.715430,0.715430,0
2016-02-01,0.715656,0.741675,0.709265,0.738171,0.738171,0
2016-03-01,0.738689,0.777623,0.738035,0.770618,0.770618,0
2016-04-01,0.769823,0.800064,0.756676,0.796570,0.796570,0
2016-05-01,0.796570,0.802497,0.758374,0.766989,0.766989,0
2016-06-01,0.764859,0.790202,0.760937,0.773138,0.773138,0
2016-07-01,0.771742,0.779362,0.755070,0.765580,0.765580,0
2016-08-01,0.765697,0.783269,0.757650,0.764135,0.764135,0
2016-09-01,0.762782,0.779800,0.753267,0.760300,0.760300,0
2016-10-01,0.761670,0.768835,0.744995,0.746157,0.746157,0
2016-11-01,0.745168,0.753744,0.735965,0.744535,0.744535,0
2016-12-01,0.744857,0.764374,0.735408,0.743990,0.743990,0
2017-01-01,0.743990,0.771075,0.743075,0.763225,0.763225,0
2017-02-01,0.766842,0.770416,0.754876,0.758328,0.758328,0
2017-03-01,0.751208,0.753704,0.738929,0.750047,0.750047,0
2017-04-01,0.750570,0.756315,0.730108,0.732830,0.732830,0
2017-05-01,0.733041,0.746949,0.725069,0.742379,0.742379,0
2017-06-01,0.741235,0.771855,0.738225,0.769669,0.769669,0
2017-07-01,0.771180,0.805542,0.768445,0.802478,0.802478,0
2017-08-01,0.799552,0.803678,0.782632,0.791929,0.791929,0
2017-09-01,0.801860,0.829050,0.798403,0.806110,0.806110,0
2017-10-01,0.806110,0.806172,0.774246,0.779770,0.779770,0
2017-11-01,0.775687,0.789540,0.774713,0.777484,0.777484,0
2017-12-01,0.775621,0.798996,0.774425,0.795545,0.795545,0
2018-01-01,0.794862,0.816027,0.791264,0.810629,0.810629,0
2018-02-01,0.812777,0.815860,0.780171,0.783018,0.783018,0
2018-03-01,0.779059,0.781189,0.761940,0.774653,0.774653,0
2018-04-01,0.774653,0.797346,0.773455,0.778828,0.778828,0
