DATE,us_gdp
7/1/2000,131.7833838
10/1/2000,132.604512
1/1/2001,132.2266426
4/1/2001,132.9997867
7/1/2001,132.4470526
10/1/2001,132.8087656
1/1/2002,133.9693293
4/1/2002,134.7818884
7/1/2002,135.3800897
10/1/2002,135.589965
1/1/2003,136.3426638
4/1/2003,137.5158024
7/1/2003,139.8506384
10/1/2003,141.455932
1/1/2004,142.2115128
4/1/2004,143.2948381
7/1/2004,144.6498777
10/1/2004,146.0988543
1/1/2005,147.7160468
4/1/2005,148.3978804
7/1/2005,149.7200255
10/1/2005,150.6663653
1/1/2006,152.6696331
4/1/2006,153.0272671
7/1/2006,153.2638786
10/1/2006,154.5694874
1/1/2007,154.9327103
4/1/2007,155.8202295
7/1/2007,156.667705
10/1/2007,157.6198508
1/1/2008,156.7140412
4/1/2008,157.5232578
7/1/2008,156.6711057
10/1/2008,153.2809361
1/1/2009,151.5598362
4/1/2009,151.3407073
7/1/2009,151.8918873
10/1/2009,153.560514
1/1/2010,154.1518759
4/1/2010,155.5725587
7/1/2010,156.7200536
10/1/2010,157.5069293
1/1/2011,157.1274323
4/1/2011,158.2503319
7/1/2011,158.2077664
10/1/2011,160.040323
1/1/2012,161.2943818
4/1/2012,161.9874741
7/1/2012,162.2065453
10/1/2012,162.3918024
1/1/2013,163.8298876
4/1/2013,164.0319626
7/1/2013,165.3167056
10/1/2013,166.6371138
1/1/2014,166.1652758
4/1/2014,168.4143771
7/1/2014,170.4710313
10/1/2014,171.4310191
1/1/2015,173.0580212
4/1/2015,174.2282401
7/1/2015,174.8606161
10/1/2015,175.1413038
1/1/2016,176.132704
4/1/2016,176.6820119
7/1/2016,177.6437848
10/1/2016,178.7617053
1/1/2017,179.772311
4/1/2017,180.5406372
7/1/2017,181.8570899
10/1/2017,183.5942006
1/1/2018,185.3054826
4/1/2018,186.5438299
7/1/2018,187.5234871
10/1/2018,188.1397607
1/1/2019,189.5041373
4/1/2019,190.2058747
7/1/2019,191.4168096
10/1/2019,192.5400089
1/1/2020,190.1083543
4/1/2020,173.0245796
7/1/2020,185.9649684
10/1/2020,187.9435769
1/1/2021,190.8632644
