DATE,XSP.TO_R,XIU.TO_R,XIN.TO_R,XBB.TO_R,XGB.TO_R,XRB.TO_R,XRE.TO_R
2010-10-01,0.038197136,0.027021624,0.01949534,0.004908914,0.002295707,0.017800105,0.012571145
2010-11-01,0.000735922,0.020753912,-0.006186665,-0.012281885,-0.01087089,-0.003139076,-0.039378712
2010-12-01,0.062499948,0.032102144,0.043010621,0.002751241,-0.001677948,-0.000449896,0.011237658
2011-01-01,0.026817643,0.020541933,0.017318698,-0.006382722,-0.007183301,-0.027609946,0.042373902
2011-02-01,0.033288005,0.045454593,0.026301669,0.000569786,0.000977124,0.022461317,0.04106531
2011-03-01,0.001315003,-0.010747674,-0.029288672,0.00129694,0.002456465,0.016475839,0.045955865
2011-04-01,0.027576873,-0.005040046,0.019396568,0.006752649,0.005573448,0.030166631,-0.003826539
2011-05-01,-0.010862588,-0.008487582,-0.014270723,0.015179944,0.016599064,0.010926709,0.012173743
2011-06-01,-0.021963831,-0.037764083,-0.027881792,-0.000207747,0.000824058,-0.006917465,-0.004589135
2011-07-01,-0.013014881,-0.030411653,-0.020723018,0.021701189,0.019704098,0.048012025,0.004799678
2011-08-01,-0.054545572,-0.006517819,-0.090960964,0.013342049,0.015055934,-0.012578478,-0.010061847
2011-09-01,-0.076922985,-0.089119911,-0.069855422,0.016501764,0.01821102,0.014012783,0.000150593
2011-10-01,0.10802456,0.058883085,0.077807951,-0.003807799,-0.003867749,0.029731884,0.015862422
2011-11-01,-0.004874729,-0.004563622,-0.001255679,0.007897404,0.008750498,0.019927094,0.027977042
2011-12-01,0.001399614,-0.021776622,-0.016341683,0.017800349,0.019748913,0.02950529,0.021995518
2012-01-01,0.05519564,0.050692187,0.047231743,0.003752843,0.001543779,0.008568234,0.015772728
2012-02-01,0.042140244,0.014021383,0.051755817,-0.004436645,-0.006989062,-0.015509872,0.032806381
2012-03-01,0.032092545,-0.019911691,0.007615949,-0.003559167,-0.004317038,-0.007483114,0.00012724
2012-04-01,-0.006219025,-0.00047995,-0.029069647,0.001426128,-0.001287129,-0.008333288,0.034037495
2012-05-01,-0.060700709,-0.06257119,-0.072455307,0.019033051,0.022586701,0.045617962,0.001370988
2012-06-01,0.031978417,0.007888512,0.0316335,0.001447655,0.001109681,-0.013011801,0.019560711
2012-07-01,0.021203802,0.013169155,0.020787366,0.006905025,0.0038721,0.021717322,0.035549543
2012-08-01,0.022915301,0.02994023,0.020625158,-0.001508147,-0.000388001,-0.011481177,-0.000485441
2012-09-01,0.024268766,0.023837222,0.016534072,0.005004437,0.00521137,0.00541997,0.003539353
