DATE,XSP.TO_R,XIU.TO_R,XIN.TO_R,XBB.TO_R,XGB.TO_R,XRB.TO_R,XRE.TO_R,SPY_R,QQQ_R,VWO_R,EWC_R,EFA_R,VGK_R,IOO_R,SHY_R,IEF_R,TIP_R,IYR_R
2012-07-01,0.021203802,0.013169155,0.020787366,0.006905025,0.0038721,0.021717322,0.035549543,0.017072002,0.012296392,0.002003219,0.025827075,0.024115555,0.003268693,0.026371455,0.002228677,0.014105179,0.021305374,0.032339148
2012-10-01,-0.017618368,0.02242286,0.012048104,-0.000120566,-0.003450137,-0.003850525,-0.015043082,-0.012957371,-0.050091942,0.006881092,0,0.01094344,0.041051306,0.002083424,-0.000663357,-0.003875247,0.006241831,0.002072405
2013-01-01,0.064186848,0.027481053,0.054496498,-0.006558849,-0.009504595,-0.023164026,0.004829462,0.058646031,0.032434107,0.011001668,0.030118568,0.048644263,0.051170586,0.062889387,0.000603624,-0.010297022,-0.001174146,0.053007918
2013-04-01,0.021181433,-0.017475048,0.044798882,0.011427863,0.009677638,0.022213493,0.048820303,0.023745318,0.027746319,0.021448557,-0.017186852,0.050186523,0.050438344,0.035993512,0.00068724,0.015084207,0.007256526,0.066285159
2013-07-01,0.060079456,0.03610083,0.056818554,0.002630043,0.000954024,0.028525093,-0.026066295,0.057241944,0.066503102,0.020604197,0.068952645,0.074575843,0.097557095,0.066137861,0.001625098,-0.003534829,0.010213976,0.011814141
2013-10-01,0.047643962,0.057269702,0.034167367,0.011441717,0.009651194,0.026833404,0.029623574,0.051406741,0.052720516,0.052046427,0.037089457,0.032601866,0.045704171,0.042952403,0.000688043,0.007783112,0.003953782,0.047024136
2014-01-01,-0.025239483,0.008629871,-0.033535698,0.024352918,0.027882403,0.055909404,0.003329438,-0.030010655,-0.016097899,-0.079405954,-0.028970697,-0.043796814,-0.041750603,-0.039825891,0.002489253,0.033997869,0.021842926,0.044089711
2014-04-01,0.007424704,0.028479404,0.007809089,0.004623911,0.003788834,0.013484156,0.020771553,0.011395444,-0.000914561,0.011595827,0.033502576,0.016666601,0.042155543,0.020934648,0.00104182,0.007332573,0.013202372,0.042158077
2014-07-01,-0.005274711,0.031136032,0.007296737,0.005012749,0.004420419,0.036454234,-0.001967634,-0.008710347,0.014538399,0.023535258,0.005883512,-0.002115498,-0.027626858,0.005553463,-0.000793325,-0.002375598,0.001776018,0.00731365
2014-10-01,0.024143983,-0.006313205,0.010337301,0.006466466,0.007495209,0.002495866,0.039353633,0.028335199,0.028861774,0.033001208,-0.025089597,-0.002651211,-0.014338034,0.000903487,0.002579946,0.015262641,0.010713579,0.093377698
2015-01-01,-0.024150339,0.016374996,0.043881825,0.046372172,0.049634861,0.088543971,0.093785564,-0.024273611,-0.017174898,0.002397817,-0.070868748,0.016087307,0.010655051,-0.015671326,0.007013772,0.046344055,0.032865778,0.068137842
2015-04-01,0.010041716,0.027528468,0.006462115,-0.015848312,-0.015873374,-0.013576782,0.011214778,0.014341469,0.02156746,0.076000867,0.071375958,0.036465625,0.04833011,0.027820991,0.000248203,-0.006365276,0.006778871,-0.040357024
2015-07-01,0.032855235,0.016214723,0.053342373,0.017290952,0.013946279,0.026641661,0.005533131,0.027563539,0.047982514,-0.053931906,-0.034627677,0.037545697,0.042748383,0.031720672,0.000436147,0.015222622,0.005354968,0.058937757
2015-10-01,0.082358379,0.02265906,0.068036479,-0.003052518,-0.001052828,-0.019023815,0.007167547,0.09070085,0.116408319,0.06735307,0.034782609,0.066120009,0.063855069,0.09119814,-0.001411503,-0.006320031,0.005213978,0.07216435
2016-01-01,-0.042112413,-0.008059476,-0.03489571,0.00205913,0.00571536,0.002320386,0.007495343,-0.044131505,-0.066261263,-0.052860773,-0.0142252,-0.046879204,-0.051650108,-0.043207853,0.007520974,0.03654605,0.01568203,-0.028744632
2016-04-01,0.003805476,0.03371937,0.002808966,0.000173841,-0.002382136,0.006493419,0.024082778,0.009119038,-0.028996162,0.011847121,0.071278029,0.022218351,0.033413291,0.005422611,0.000317972,-0.001663718,0.002093286,-0.004973322
2016-07-01,0.047085847,0.046104859,0.052526333,0.008158335,0.007343399,0.016647106,0.019069843,0.041861549,0.074362244,0.05836617,0.037940767,0.061146425,0.055308236,0.05459861,-0.000453594,0.002551374,0.002287505,0.045909702
2016-10-01,-0.018488782,0.01296289,0.008100659,-0.009820973,-0.011645416,-0.007730806,-0.023737984,-0.012373219,-0.012103299,0.015301687,-0.013234712,-0.022154678,-0.030083346,-0.011072724,-0.000470407,-0.014901145,-0.001812251,-0.041536628
