DATE,SPY_R,QQQ_R,VWO_R,EWC_R,EFA_R,VGK_R,IOO_R,SHY_R,IEF_R,TIP_R,IYR_R
2009-03-01,0.075612153,0.101344394,0.124045816,0.090788329,0.083909993,0.076975,0.083611528,0.005096643,0.033305905,0.059059721,0.012728558
2009-04-01,0.107214267,0.132476178,0.17444802,0.138517713,0.115190313,0.131661529,0.090413597,-0.001788612,-0.027658754,-0.022481389,0.325360026
2009-05-01,0.058454003,0.032088847,0.178894454,0.232657784,0.131917872,0.142659313,0.102887058,0.000245195,-0.020902736,0.018337409,0.022727367
2009-06-01,-0.006268284,0.028264521,-0.02452494,-0.072727368,-0.034562347,-0.023515111,-0.029521711,-0.00051596,-0.005556272,0.004561637,-0.039407579
2009-07-01,0.080675534,0.085720574,0.10905098,0.134752461,0.123796028,0.113455729,0.118233917,0.001324923,0.008514597,0.000695115,0.122541736
2009-08-01,0.036939718,0.014702027,-0.007084584,-0.017355311,0.045030445,0.054849543,0.04005149,0.004090496,0.007516392,0.008002564,0.131938977
2009-09-01,0.030548884,0.055458509,0.099600804,0.071488205,0.037965275,0.048192567,0.038688214,0.002414537,0.011335018,0.015304055,0.051502863
2009-10-01,-0.014553738,-0.029594087,-0.024137099,-0.063971207,-0.0252379,-0.025811481,-0.011500444,0.001407374,-0.001312668,0.020207561,-0.041178075
2009-11-01,0.061606652,0.063476468,0.071808451,0.086373114,0.039212217,0.045332219,0.055218022,0.004934054,0.014409967,0.025081246,0.070776271
2009-12-01,0.013643647,0.050275293,0.017370017,0.01620952,-0.001985897,-0.040000201,-0.008556751,-0.014016356,-0.039888765,-0.021838005,0.057577244
2010-01-01,-0.031154483,-0.063138606,-0.054658346,-0.063045733,-0.042011971,-0.025965962,-0.046399745,0.015987578,0.027893132,0.019637559,-0.043957199
2010-02-01,0.031194957,0.046038895,0.018828151,0.06014738,0.002667648,-0.005501614,0.007730093,0.00059759,0,-0.014977562,0.054570541
2010-03-01,0.056528996,0.075960758,0.081878744,0.077190282,0.063854342,0.065058432,0.059972031,-0.002584048,-0.009955115,0.001879076,0.086899614
2010-04-01,0.01965156,0.023516614,-0.002135334,0.011465245,-0.028046077,-0.038022004,-0.022368226,0.002938255,0.016365294,0.020828273,0.074242142
2010-05-01,-0.079454409,-0.073923782,-0.091773392,-0.072972045,-0.111927846,-0.117494453,-0.09757747,0.004555383,0.029166081,0.004651861,-0.056835272
2010-06-01,-0.056231247,-0.063377151,-0.005497312,-0.049675128,-0.037458622,-0.016397809,-0.053504838,0.004277511,0.030707143,0.009185115,-0.054854808
2010-07-01,0.073383271,0.076728592,0.102132081,0.079147476,0.135630005,0.141826435,0.12598749,0.001917994,0.009299216,4.80797E-05,0.103486307
2010-08-01,-0.044980056,-0.05129947,-0.025554911,-0.021005266,-0.037950404,-0.045761425,-0.044420663,0.002413724,0.033523474,0.020261905,-0.012972037
2010-09-01,0.083752222,0.129084817,0.114215072,0.073946425,0.0997197,0.112582798,0.085347693,0.001200229,0.000109355,0.00939777,0.037269436
2010-10-01,0.043760246,0.065869107,0.031016366,0.031751468,0.038055362,0.048850707,0.04317296,0.002253849,6.47324E-05,0.023757161,0.048379232
2010-11-01,0,-0.001724801,-0.028376433,0.014177146,-0.048237216,-0.078082225,-0.03744457,-0.002071699,-0.009008139,-0.017956801,-0.015829565
2010-12-01,0.061271085,0.045497984,0.057312486,0.056938322,0.072981909,0.042029507,0.062446601,-0.002413133,-0.036929744,-0.015653978,0.03457203
2011-01-01,0.028681549,0.030316577,-0.017684756,0.020085506,0.030564013,0.085963928,0.042601885,0.002882967,0.004897946,0.004286598,0.046921011
2011-02-01,0.034737296,0.031607265,-0.001720743,0.076062447,0.035498068,0.031237467,0.031371413,-0.002021571,-0.004584021,0.00567213,0.04520398
2011-03-01,-0.004205593,-0.005885705,0.054729123,-0.001782024,-0.023882877,-0.010287597,-0.015961588,-0.001217547,-0.001353146,0.010880801,-0.019478777
2011-04-01,0.033431413,0.030182297,0.03370804,0.00267788,0.056258095,0.083156882,0.054016838,0.005268235,0.018051963,0.020907602,0.055752956
2011-05-01,-0.011214467,-0.012187317,-0.029446612,-0.023738888,-0.022061176,-0.028434338,-0.025987183,0.003655153,0.025174197,0.002647358,0.010133313
2011-06-01,-0.021719865,-0.02244644,-0.009977994,-0.037386127,-0.030937723,-0.020852551,-0.03100328,-4.51765E-05,-0.005019388,0.003377316,-0.039808949
2011-07-01,-0.015145817,0.018931724,-0.006169866,-0.016525189,-0.004808348,-0.045955516,-0.008761125,0.002919839,0.031816479,0.041762659,0.011287463
2011-08-01,-0.05497572,-0.050689567,-0.090852713,-0.033936822,-0.08754896,-0.092813582,-0.077239131,0.003448854,0.04651093,0.00819398,-0.053119107
2011-09-01,-0.074210629,-0.046676465,-0.184384405,-0.147206314,-0.108082775,-0.122382971,-0.082163502,-0.000931367,0.022564017,0.004939081,-0.11621808
2011-10-01,0.114885615,0.106067301,0.159084854,0.107885537,0.096274525,0.124200423,0.107235978,0.00040058,-0.012652223,0.019249143,0.144109376
