DATE,FEDFUNDS
1990-01-01,8.2500000000000000
1990-04-01,8.2433333333333333
1990-07-01,8.1600000000000000
1990-10-01,7.7433333333333333
1991-01-01,6.4266666666666667
1991-04-01,5.8633333333333333
1991-07-01,5.6433333333333333
1991-10-01,4.8166666666666667
1992-01-01,4.0233333333333333
1992-04-01,3.7700000000000000
1992-07-01,3.2566666666666667
1992-10-01,3.0366666666666667
1993-01-01,3.0400000000000000
1993-04-01,3.0000000000000000
1993-07-01,3.0600000000000000
1993-10-01,2.9900000000000000
1994-01-01,3.2133333333333333
1994-04-01,3.9400000000000000
1994-07-01,4.4866666666666667
1994-10-01,5.1666666666666667
1995-01-01,5.8100000000000000
1995-04-01,6.0200000000000000
1995-07-01,5.7966666666666667
1995-10-01,5.7200000000000000
1996-01-01,5.3633333333333333
1996-04-01,5.2433333333333333
1996-07-01,5.3066666666666667
1996-10-01,5.2800000000000000
1997-01-01,5.2766666666666667
1997-04-01,5.5233333333333333
1997-07-01,5.5333333333333333
1997-10-01,5.5066666666666667
1998-01-01,5.5200000000000000
1998-04-01,5.5000000000000000
1998-07-01,5.5333333333333333
1998-10-01,4.8600000000000000
1999-01-01,4.7333333333333333
1999-04-01,4.7466666666666667
1999-07-01,5.0933333333333333
1999-10-01,5.3066666666666667
2000-01-01,5.6766666666666667
2000-04-01,6.2733333333333333
2000-07-01,6.5200000000000000
2000-10-01,6.4733333333333333
2001-01-01,5.5933333333333333
2001-04-01,4.3266666666666667
2001-07-01,3.4966666666666667
2001-10-01,2.1333333333333333
2002-01-01,1.7333333333333333
2002-04-01,1.7500000000000000
2002-07-01,1.7400000000000000
2002-10-01,1.4433333333333333
2003-01-01,1.25000000000000000000
2003-04-01,1.24666666666666666667
2003-07-01,1.01666666666666666667
2003-10-01,0.99666666666666666667
2004-01-01,1.00333333333333333333
2004-04-01,1.01000000000000000000
2004-07-01,1.4333333333333333
2004-10-01,1.9500000000000000
2005-01-01,2.4700000000000000
2005-04-01,2.9433333333333333
2005-07-01,3.4600000000000000
2005-10-01,3.9800000000000000
2006-01-01,4.4566666666666667
2006-04-01,4.9066666666666667
2006-07-01,5.2466666666666667
2006-10-01,5.2466666666666667
2007-01-01,5.2566666666666667
2007-04-01,5.2500000000000000
2007-07-01,5.0733333333333333
2007-10-01,4.4966666666666667
2008-01-01,3.1766666666666667
2008-04-01,2.0866666666666667
2008-07-01,1.9400000000000000
2008-10-01,0.50666666666666666667
2009-01-01,0.18333333333333333333
2009-04-01,0.18000000000000000000
2009-07-01,0.15666666666666666667
2009-10-01,0.12000000000000000000
2010-01-01,0.13333333333333333333
2010-04-01,0.19333333333333333333
2010-07-01,0.18666666666666666667
2010-10-01,0.18666666666666666667
2011-01-01,0.15666666666666666667
2011-04-01,0.09333333333333333333
2011-07-01,0.08333333333333333333
2011-10-01,0.07333333333333333333
2012-01-01,0.10333333333333333333
2012-04-01,0.15333333333333333333
2012-07-01,0.14333333333333333333
2012-10-01,0.16000000000000000000
2013-01-01,0.14333333333333333333
2013-04-01,0.11666666666666666667
2013-07-01,0.08333333333333333333
2013-10-01,0.08666666666666666667
2014-01-01,0.07333333333333333333
2014-04-01,0.09333333333333333333
2014-07-01,0.09000000000000000000
2014-10-01,0.10000000000000000000
2015-01-01,0.11000000000000000000
2015-04-01,0.12333333333333333333
2015-07-01,0.13666666666666666667
2015-10-01,0.16000000000000000000
2016-01-01,0.36000000000000000000
2016-04-01,0.37333333333333333333
2016-07-01,0.39666666666666666667
2016-10-01,0.45000000000000000000
2017-01-01,0.70000000000000000000
2017-04-01,0.95000000000000000000
2017-07-01,1.15333333333333333333
2017-10-01,1.20333333333333333333
2018-01-01,1.4466666666666667
2018-04-01,1.7366666666666667
2018-07-01,1.9233333333333333
2018-10-01,2.2200000000000000
2019-01-01,2.4033333333333333
2019-04-01,2.3966666666666667
2019-07-01,2.1900000000000000
2019-10-01,1.6433333333333333
2020-01-01,1.26000000000000000000
2020-04-01,0.06000000000000000000
2020-07-01,0.09333333333333333333
2020-10-01,0.09000000000000000000
2021-01-01,0.08000000000000000000
2021-04-01,0.07000000000000000000
